date,usd coin,isPartial
2018-10-01,11,False
2018-11-01,11,False
2018-12-01,9,False
2019-01-01,10,False
2019-02-01,8,False
2019-03-01,9,False
2019-04-01,9,False
2019-05-01,11,False
2019-06-01,14,False
2019-07-01,12,False
2019-08-01,10,False
2019-09-01,9,False
2019-10-01,9,False
2019-11-01,8,False
2019-12-01,8,False
2020-01-01,10,False
2020-02-01,11,False
2020-03-01,11,False
2020-04-01,11,False
2020-05-01,13,False
2020-06-01,11,False
2020-07-01,12,False
2020-08-01,16,False
2020-09-01,12,False
2020-10-01,11,False
2020-11-01,15,False
2020-12-01,19,False
2021-01-01,34,False
2021-02-01,55,False
2021-03-01,43,False
2021-04-01,78,False
2021-05-01,100,False
2021-06-01,40,False
2021-07-01,32,False
2021-08-01,40,False
2021-09-01,36,False
2021-10-01,69,False
2021-11-01,79,False
2021-12-01,67,False
2022-01-01,67,False
2022-02-01,53,False
2022-03-01,48,False
2022-04-01,42,False
2022-05-01,64,False
2022-06-01,42,False
2022-07-01,33,False
2022-08-01,29,False
2022-09-01,30,False
2022-10-01,25,False
2022-11-01,29,False
2022-12-01,26,False
2023-01-01,30,False
2023-02-01,31,False
2023-03-01,30,False
2023-04-01,30,False
2023-05-01,25,False
2023-06-01,26,False
2023-07-01,27,False
2023-08-01,26,False
2023-09-01,23,False
2023-10-01,25,False
2023-11-01,27,False
2023-12-01,43,False
2024-01-01,38,False
2024-02-01,38,False
2024-03-01,78,False
